289,,,,,289,,,,,289,,,,289,,,,,,,289,,"ไม่สนใจส่วนใหญ่ โควตาหมดไว เลยไม่ค่อยได้ใช้ระบบ หรือออกจาก สปสช. AIติดภาษาถิ่น"""
รายชื่อลูกค้า,,,,,ติดตามสถานะ PresScribe AI,,,,,ติดตามสถานะ iService,,,,สถานะโทรเชิญชวน,,,,,,,สถานะโทรเชิญชวน MED AI,,
ลำดับ,รหัสหน่วยบริการ,ชื่อลูกค้า,  จังหวัด,BD,สถานะ Provider ID,สถานะการใช้งานระบบ AI,วันที่ปรับสถานะ,หมายเหตุ,Feedback, สถานะ BD,วันที่ปรับสถานะ,หมายเหตุ,Feedback, สถานะโทรติดตาม,รหัสหน่วยบริการ,ai,service, ,หมายเหตุ,Service ที่มี,MED AI,วันที่ติดต่อล่าสุด,feedback
137,46810,สบายใจคลินิกเวชกรรม,กรุงเทพมหานคร,ธนวัฒน์ เศวตวงศ์,-,-,,,,-,,,,รอพิจารณา,46810,รอพิจารณา,รอพิจารณา,13/1/2026,เครือรักสุขภาพ,,0.ยังไม่ได้ติดต่อ,,
138,53593,คลินิกแพทย์จตุคลินิกเวชกรรม,ร้อยเอ็ด,จตุพร ผาสุจิต,-,-,,,,-,,,,ยกเลิกสัญญา,53593,ยกเลิกสัญญา,ยกเลิกสัญญา,30/1/2026,"ไม่่มีหมายเลข
30/1/2026 คาดว่ายกเลิก เนื่องจากไม่สามารถติดต่อทางแพทย์ให้ต่อสัญญาและเสนอบริการใหม่ได้",,0.ยังไม่ได้ติดต่อ,,
139,53912,คลินิกเวชกรรมหมอกษมพล ชุมพร,ชุมพร,จตุพร ผาสุจิต,-,-,,,,-,,,,ไม่สนใจทั้งสองระบบ,53912,ไม่สนใจ AI,ไม่สนใจ iService,30/1/2026,"รอพี่หนึ่งติดต่อ เนื่องจากเปลี่ยนประเภทคลินิก
30/1/2026 เนื่องจากกำลังเปลี่ยนผ่านมาใช้เป็นระบบ Telemedicine และยังให้บริการคนไข้ไม่ได้ จึงยังไม่สนใจที่จะใช้งานระบบ",,0.ยังไม่ได้ติดต่อ,,
140,54701,กายมีสุข คลินิกเวชกรรม,กรุงเทพมหานคร,ธนวิชญ์ สถิตคุณอนันต์,-,-,,,,-,,,,ติดต่อใหม่,54701,ติดต่อใหม่,ติดต่อใหม่,24/2/2026,"ไม่รับสาย
30/1/2026 ไม่รับสาย
18/02/26 ไม่รับสาย
20/02/26 ไม่รับสาย
24/02/26 ไม่รับสาย 17.23 น.",,0.ยังไม่ได้ติดต่อ,,
141,53742,คลินิกเวชกรรมนายแพทย์ภาณุพันธุ์,ยโสธร,ธนวัฒน์ เศวตวงศ์,-,-,,,,-,,,,ยกเลิกสัญญา,53742,ยกเลิกสัญญา,ยกเลิกสัญญา,30/1/2026,"ไม่รับสาย
30/1/2026 ตรวจคนไข้อยู่",,0.ยังไม่ได้ติดต่อ,,
142,53652,คลินิกเวชกรรมแพทย์อิลฮัม,นราธิวาส,ธนาภรณ์ สายทองดี,-,-,,,,-,,,,รอพิจารณา,53652,รอพิจารณา,รอพิจารณา,20/1/2026,อธิบายรายละเอียดเเล้ว คุณหมอยังตัดสินใจไม่ได้,,0.ยังไม่ได้ติดต่อ,,
143,44648,คลินิกเวชกรรมบ้านหมอจู,อุบลราชธานี,ชลธิชา ช่วยพันธ์,-,-,,,,-,,,,ติดต่อใหม่,44648,ติดต่อใหม่,ติดต่อใหม่,30/1/2026,"ให้พี่การ์ฟิวส์ส่งรายละเอียดให้ทางไลน์
30/1/2026 จะติดต่อไปเพื่อติดตาม แต่โทรไปแล้วคุณหมอไม่เปิดโทรศัพท์",,0.ยังไม่ได้ติดต่อ,,
144,53774,คลินิกเวชกรรม คลินิกนายแพทย์ธนากร (หมอโต้ง),เชียงราย,ชลธิชา ช่วยพันธ์,-,-,,,,-,,,,ติดต่อใหม่,53774,ติดต่อใหม่,ติดต่อใหม่,20/2/2026,"คุณหมอติดคนไข้ ให้ติดต่อใหม่
30/1/2026 ติดต่อใหม่ 5 โมง
20/02//26 ให้ติดต่ออีกที 6 โมงเย็น",,0.ยังไม่ได้ติดต่อ,,
145,49897,หมอขวัญคลินิกเวชกรรม,มหาสารคาม,ชลธิชา ช่วยพันธ์,-,-,,,,-,,,,ติดต่อใหม่,49897,ติดต่อใหม่,ติดต่อใหม่,30/1/2026,"ไม่รับสาย
30/1/2026 ติดต่อใหม่อีกทีวันจันทร์",,0.ยังไม่ได้ติดต่อ,,
146,30492,นายแพทย์เสน่ห์คลินิกเวชกรรม,มหาสารคาม,ธนวัฒน์ เศวตวงศ์,-,-,,,,-,,,,ไม่สนใจทั้งสองระบบ,30492,ไม่สนใจ AI,ไม่สนใจ iService,30/1/2026,30/1/2026 คาดว่าจะไม่ทำคลินิกต่อ เลยยังไม่สนใจใช้งานระบบอื่น,,0.ยังไม่ได้ติดต่อ,,
147,52692,ดิเลิฟลี่คลินิกเวชกรรม,เชียงใหม่,ชลธิชา ช่วยพันธ์,-,-,,,,-,,,,ยกเลิกสัญญา,52692,ยกเลิกสัญญา,ยกเลิกสัญญา,20/2/2026,"ไม่รับสาย
30/1/2026 ไม่รับสาย
12/02/26 ไม่รับสาย
20/02/26 ในระบบขึ้นเเจ้งไม่ต่อสัญญา",,0.ยังไม่ได้ติดต่อ,,
148,52448,คลินิกเวชกรรมแพทย์โกสินทร์,อุตรดิตถ์,ธนวิชญ์ สถิตคุณอนันต์,-,-,,,,-,,,,ยกเลิกสัญญา,52448,ยกเลิกสัญญา,ยกเลิกสัญญา,20/2/2026,20/02/26 ต่อสัญญาแบบ Read Only,,0.ยังไม่ได้ติดต่อ,,
149,90048,คลินิกเฉพาะทางด้านเวชกรรมอายุรศาสตร์แพทย์พรสวรรค์,สุพรรณบุรี,จตุพร ผาสุจิต,-,-,,,,-,,,,ติดต่อใหม่,90048,ติดต่อใหม่,ติดต่อใหม่,30/1/2026,"หมอไม่สะดวกคุย ต้องไลน์ไป
30/1/2026 ทักไลน์และโทรไป ยังไม่มีการตอบกลับ",,0.ยังไม่ได้ติดต่อ,,
150,55611,คลินิกเวชกรรมหมอชากรณัช,พะเยา,จตุพร ผาสุจิต,-,-,,,,2. นำส่ง User ให้ลูกค้าเเล้ว,12/2/2026,เปิดระบบ นำส่งให้ลูกค้า,,สนใจ iService,55611,ไม่สนใจ AI,สนใจ iService,21/1/2026,หมอเเจ้งว่า สนใจ iservice,มี iservice,0.ยังไม่ได้ติดต่อ,,22/01/26 ติดต่อีกทีตอนเย็น
151,54078,คลินิกเวชกรรมนายแพทย์ปริญ,อุบลราชธานี,ธนวัฒน์ เศวตวงศ์,-,-,,,,-,,,,ติดต่อใหม่,54078,ติดต่อใหม่,ติดต่อใหม่,30/1/2026,"คุณหมอติดงานอยู่ เอาไว้รอบหน้า
30/1/2026 ติดต่อใหม่อีกทีช่วงเย็น",,0.ยังไม่ได้ติดต่อ,,
152,53832,คลินิกเวชกรรมนายแพทย์จิระวัตรบ้านสบาย,ศรีสะเกษ,จตุพร ผาสุจิต,-,-,,,,-,,,,ติดต่อใหม่,53832,ติดต่อใหม่,ติดต่อใหม่,30/1/2026,"ไม่รับสาย
30/1/2026 วันนี้ประชุมทั้งวันเลยติดต่อใหม่อีกที",,0.ยังไม่ได้ติดต่อ,,
153,30801,หมอเกียรติคลินิกเวชกรรม,ปัตตานี,จตุพร ผาสุจิต,3.มี Provider ID สำหรับคลินิกเเล้ว,6.ยกเลิกใช้งาน,27/02/2026,"11/02/26 ได้รับเมล Licen AI เเล้ว
13/02/26 เเจ้งทีมเทคนิคเซ็ต License 
16/02/26 ทีมเทคนิคเซ็ตระบบเเล้ว รอนัดหมายเทรนนิ่งใช้งาน
19/02/2026 ติดตามการต่อสัญญาก่อน หากคลินิกไม่ต่อจะไม่สามารถใช้งานได้
27/02/2026 ใช้ Package Lead only ไม่สามารถใช้งาน PresScribe AI ได้",,3. ลูกค้าทดลองใช้,12/2/2026,เปิดระบบ นำส่งให้ลูกค้า,,สนใจ AI+iService,30801,สนใจ AI,สนใจ iService,27/1/2026,"เเจ้งว่าเดี๋ยวให้เจ้าหน้าที่ติดต่อคุณหนึ่ง
27/1/2026 สนใช้ใช้งานระบบ",มี iservice,0.ยังไม่ได้ติดต่อ,,
154,54080,คลินิกเวชกรรมหมอถิรวิทย์,ศรีสะเกษ,ธนวัฒน์ เศวตวงศ์,-,-,,,,2. นำส่ง User ให้ลูกค้าเเล้ว,21/1/2026,,,สนใจ iService,54080,ไม่สนใจ AI,สนใจ iService,21/1/2026,หมอเเจ้งว่า สนใจ iservice,มี iservice,0.ยังไม่ได้ติดต่อ,,
155,55463,คลินิกเวชกรรมแพทย์หญิงวลี,ขอนแก่น,จตุพร ผาสุจิต,-,-,,,,-,,,,ติดต่อใหม่,55463,ติดต่อใหม่,ติดต่อใหม่,30/1/2026,"ติดตรวจคนไข้ 17.16 น.
30/1/2026 รับสายแล้ว แต่ไม่พูด โทรไปอีกรอบไม่รับ",,0.ยังไม่ได้ติดต่อ,,
156,54254,คลินิกแพทย์ภัทรภร คลินิกเวชกรรม,กำแพงเพชร,ธวัชชัย รุ่งเสถียรภูธร,-,-,,,,3. ลูกค้าทดลองใช้,23/1/2026,"รูปแบบเข้าใจง่าย
อาจจะงงๆตรงสรุปค่าใช้จ่าย และ สรุปการใช้ยา/เวชภัณฑ์ ที่ไม่แน่ใจที่มาของตัวเลข
และ ตรงรายงานสรุปค่าใช้จ่ายของข้าราชการ กับ ประกันสังคม ไม่ขึ้น","รูปแบบเข้าใจง่าย
อาจจะงงๆตรงสรุปค่าใช้จ่าย และ สรุปการใช้ยา/เวชภัณฑ์ ที่ไม่แน่ใจที่มาของตัวเลข
และ ตรงรายงานสรุปค่าใช้จ่ายของข้าราชการ กับ ประกันสังคม ไม่ขึ้น",สนใจ iService,54254,ไม่สนใจ AI,สนใจ iService,21/1/2026,หมอเเจ้งว่า สนใจ iservice,มี iservice,0.ยังไม่ได้ติดต่อ,,
157,54049,คลินิกเวชกรรมหมอชนินทร์,ลำพูน,ณิชกุล เจริญสุข,-,-,,,,3. ลูกค้าทดลองใช้,17/2/2026,"เปิดระบบให้กับลูกค้าเรียบร้อยแล้ว รอทางคลินิกเข้ามาทดลองใช้งาน
17/02/26 BD ติดตาม ลูกค้าเเจ้งว่าจะทดลองใช้ / ทดลองใช้เเล้ว",,สนใจ iService,54049,ไม่สนใจ AI,สนใจ iService,21/1/2026,อยากได้ข้อมูลพื้นฐานใบ สพ.23 เผื่อเอาไปต่ออายุ,มี iservice,0.ยังไม่ได้ติดต่อ,,
158,53947,ไออุ่นคลินิกเวชกรรม สาขาท่าสัก,อุตรดิตถ์,จตุพร ผาสุจิต,3.มี Provider ID สำหรับคลินิกเเล้ว,7.เคยทดลองใช้เล้วยกเลิก,10/02/2026,ยกเลิกใช้งานเนื่องจาก พนักงานคีย์ข้อมูลเองสะดวกกว่า,,-,,,,สนใจ AI,53947,สนใจ AI,ไม่สนใจ iService,,,,0.ยังไม่ได้ติดต่อ,,
159,30505,คลินิกเวชกรรมหมอปิติ,มหาสารคาม,ธนาภรณ์ สายทองดี,-,-,,,,-,,,,ไม่สนใจทั้งสองระบบ,30505,ไม่สนใจ AI,ไม่สนใจ iService,21/1/2026,แจ้งว่าหลักๆจะให้เด็กทำ ใช้ส่งเคลม,,0.ยังไม่ได้ติดต่อ,,
160,24801,คลินิกหมออิทธิพล คลินิกเวชกรรม,เชียงราย,ธนวัฒน์ เศวตวงศ์,-,-,,,,-,,,,ติดต่อใหม่,24801,ติดต่อใหม่,ติดต่อใหม่,26/2/2026,"บริการฝากหมายเลข
30/1/2026 ฝากหมายเลขโทรกลับ
12/02/26 ฝากหมายเลข
19/02/26 บริการฝากหมายเลข
20/02/26 บริการฝากหมายเลข
25/02/26 บริการฝากหมายเลข 17.00
26/02/26 บริการฝากหมายเลข 17.20",,0.ยังไม่ได้ติดต่อ,,
161,49082,หมอปรินทร์คลินิกเวชกรรม,ปัตตานี,จตุพร ผาสุจิต,-,-,,,,2. นำส่ง User ให้ลูกค้าเเล้ว,27/2/2026,"เปิดระบบ นำส่งให้ลูกค้า
27/2/2026 ไม่ค่อยมีเวลาใช้งานระบบ แจ้งว่าช่วงวันเสาร์จะลองเข้าใช้งานอีกที",,สนใจ iService,49082,ไม่สนใจ AI,สนใจ iService,21/1/2026,สนใจตัว iservice,มี iservice,0.ยังไม่ได้ติดต่อ,,
162,54407,สามเหลี่ยมคลินิกเวชกรรม,ขอนแก่น,ปาณิสรา ตรีรัตนธำรง,-,-,,,,-,,,,ติดต่อใหม่,54407,ติดต่อใหม่,ติดต่อใหม่,30/1/2026,"ติดตรวจคนไข้ 17.18 น.
30/1/2026 0972899995 คุณเบนซ์ผู้จัดการคลินิก 
ติดต่อไปแล้วแจ้งว่า ขอดูอีกทีในวันที่ 2 เนื่องจากตอนนี้ยัง Revativate ไม่ได้ ถ้าทุกอย่างพร้อมแล้วจะแจ้งอีกที",,0.ยังไม่ได้ติดต่อ,,
163,51354,คลินิกเวชกรรมนายแพทย์ณัฐพล,แพร่,ณิชกุล เจริญสุข,-,-,,,,2. นำส่ง User ให้ลูกค้าเเล้ว,19/2/2026,19/02/26 ส่ง User ,,สนใจ iService,51354,ไม่สนใจ AI,สนใจ iService,18/2/2026,"หมอแจ้งว่าติดคนไข้
30/1/2026 ไม่รับสาย
18/02/26 ยังไม่สนใจ AI เนื่องจากเป็นถาษาถิ่มพูดกับคนไข้ แต่สนใจ iservice ",มี iservice,0.ยังไม่ได้ติดต่อ,,
164,53817,หมอปัญจภัสร์คลินิกเวชกรรม,ปราจีนบุรี,อริสรา ส่วนบุญ,-,-,,,,-,,,,ยกเลิกสัญญา,53817,ยกเลิกสัญญา,ยกเลิกสัญญา,30/1/2026,"ได้ยินเสียงเหมือนหมอประชุมอยู่ เเจ้งว่า ติดงานค่า 15.45 น.
30/1/2026 ในสถานะในระบบขึ้นเป็น 9.2 ซื้อแล้วยกเลิก",,0.ยังไม่ได้ติดต่อ,,
165,51975,คลินิกเวชกรรมหมอแพรวพรรณ,มหาสารคาม,จตุพร ผาสุจิต,-,-,,,,5.ยกเลิกใช้งาน,27/2/2026,"เปิดระบบ นำส่งให้ลูกค้า
16/02/26 นำส่ง User แล้ว
27/2/2026 เนื่องจากทางคลินิกจะไม่ต่อสัญญาระบบ น่าจะไม่ได้ใช้เพื่อดูระบบแล้ว",,สนใจ iService,51975,ไม่สนใจ AI,สนใจ iService,12/2/2026,"โทรไม่ติด
30/1/2026 ไม่รับสาย
12/02/26 สนใจ iservice",มี iservice,0.ยังไม่ได้ติดต่อ,,
166,27368,คลินิกแพทย์หญิงอรวรรณ,กาฬสินธุ์,ชลธิชา ช่วยพันธ์,-,-,,,,2. นำส่ง User ให้ลูกค้าเเล้ว,19/2/2026,,,สนใจ iService,27368,ไม่สนใจ AI,สนใจ iService,18/2/2026,"ไม่รับสาย
30/1/2026 ไม่รับสาย
12/02/26 ไม่รับสาย
13/02/26 ไม่รับสาย
18/02/26 ยังไม่สน AI ติดปัญหาด้านภาษาถิ่น เเละคิดว่าใช้ยาก สนใจ iservice",มี iservice,0.ยังไม่ได้ติดต่อ,,
167,49656,แพทย์หญิงชฎาพร คลินิกเวชกรรม,ร้อยเอ็ด,ธวัชชัย รุ่งเสถียรภูธร,-,-,,,,-,,,,ติดต่อใหม่,49656,ติดต่อใหม่,ติดต่อใหม่,30/1/2026,"หมอแจ้งว่่า ตอนนี้ยังไม่สะดวกค่า
30/1/2026 วันนี้ไม่สะดวกคุยเลย",,0.ยังไม่ได้ติดต่อ,,
168,53825,คลินิกเวชกรรมนายแพทย์จิระวัตร,ศรีสะเกษ,จตุพร ผาสุจิต,-,-,,,,-,,,,ติดต่อใหม่,53825,ติดต่อใหม่,ติดต่อใหม่,25/2/2026,"ไม่รับสาย
30/1/2026 ตอนนี้ยังไม่สะดวกคุย
25/02/26 ไม่รับสาย",,0.ยังไม่ได้ติดต่อ,,
169,54028,หมอนิงคลินิกเวชกกรรม,ปัตตานี,จตุพร ผาสุจิต,-,-,,,,-,,,,ติดต่อใหม่,54028,ติดต่อใหม่,ติดต่อใหม่,30/1/2026,"เเจ้งให้ติดต่อเบอร์คลินิก 0819568565
30/1/2026 ตอนนี้สอนนักศึกษาอยู่ค่ะ",,0.ยังไม่ได้ติดต่อ,,
170,44672,รวมสุขคลินิกเวชกรรม,กรุงเทพมหานคร,ปาณิสรา ตรีรัตนธำรง,-,-,,,,-,,,,ติดต่อใหม่,44672,ติดต่อใหม่,ติดต่อใหม่,17/2/2026,"ไม่รับสาย
30/1/2026 ไม่รับสาย
13/02/2026 ไม่รับสาย
17/02/26 หมอแจ้งว่าพอดีตอนนี้ผมขับรถอยู่ครับ 17.35 น. ",,0.ยังไม่ได้ติดต่อ,,
171,44203,คลินิกเวชกรรมหมอฐิติพร,เชียงใหม่,ธนวัฒน์ เศวตวงศ์,-,-,,,,2. นำส่ง User ให้ลูกค้าเเล้ว,,,,สนใจ iService,44203,ไม่สนใจ AI,สนใจ iService,14/1/2026,คุณหมอไม่สะดวกคุย เสียงผู้หญิง แจ้งให้พี่จุ้ยส่งรายละเอียดให้ทางไลน์,มี iservice,0.ยังไม่ได้ติดต่อ,,
172,54556,คลินิกเวชกรรมแพทย์หญิงสุกัญญา,ร้อยเอ็ด,ชลธิชา ช่วยพันธ์,-,-,,,,-,,,,ไม่สนใจทั้งสองระบบ,54556,ไม่สนใจ AI,ไม่สนใจ iService,21/1/2026,ติคนไข้ไม่ค่อยมี คิดว่าจะไม่เข้าร่วม สปสช.,,0.ยังไม่ได้ติดต่อ,,
173,54481,คลินิกเวชกรรมหมอกษมพล กทม.,กรุงเทพมหานคร,จตุพร ผาสุจิต,-,-,,,,-,,,,ไม่สนใจทั้งสองระบบ,54481,ไม่สนใจ AI,ไม่สนใจ iService,30/1/2026,"พี่หนึ่งเเจ้งว่า ยังไม่ต้องติดต่อ กำลังเปลี่ยนประเภทคลินิก
30/1/2026 เนื่องจากกำลังเปลี่ยนผ่านมาใช้เป็นระบบ Telemedicine และยังให้บริการคนไข้ไม่ได้ จึงยังไม่สนใจที่จะใช้งานระบบ",,0.ยังไม่ได้ติดต่อ,,
174,47834,คลินิกเฉพาะทางด้านเวชกรรมนายแพทย์ชัยวัฒน์ สาขาอายุรกรรม,บุรีรัมย์,จตุพร ผาสุจิต,-,-,,,,-,,,,ติดต่อใหม่,47834,ติดต่อใหม่,ติดต่อใหม่,26/2/2026,"ไม่รับสาย
30/1/2026 ไม่รับสาย
13/02/26 ไม่รับสาย
17/02/26 ไม่รับสาย
18/02/26 ไม่รับสาย
19/02/26 ไม่รับสาย
20/02/26 ไม่รับสาย
25/02/26 ไม่รับสาย 16.51 น
26/02/26 ไม่รับสาย 17.18 น.",,0.ยังไม่ได้ติดต่อ,,
175,54548,คลินิกเวชกรรมหมอฉุลีรัตน์,นราธิวาส,ชลธิชา ช่วยพันธ์,-,-,,,,-,,,,ติดต่อใหม่,54548,ติดต่อใหม่,ติดต่อใหม่,30/1/2026,"หมอแจงว่าติดต่อคนไข้อยู่ค่ะ
30/1/2026 ตอนนี้ยังไม่สะดวกคุย",,0.ยังไม่ได้ติดต่อ,,
176,54044,คลินิกเวชกรรมนายแพทย์ไพบูรณ์ 2,ขอนแก่น,ณิชกุล เจริญสุข,-,-,,,,-,,,,ไม่สนใจทั้งสองระบบ,54044,ไม่สนใจ AI,ไม่สนใจ iService,14/1/2026,คุณหมอแจ้งว่า ออกจาก สปสช.เเล้ว เลยไม่ได้ใช้ EHP และมีโปรแกรมอื่นใช้เล้ว,,0.ยังไม่ได้ติดต่อ,,
177,54087,หมอหยกคลินิกเวชกรรม,ลำพูน,ปาณิสรา ตรีรัตนธำรง,-,-,,,,-,,,,ติดต่อใหม่,54087,ติดต่อใหม่,ติดต่อใหม่,30/1/2026,"ไม่รับสาย
30/1/2026 พอดีมาธนาคารโดนเรียกคิวพอดี ติดต่อวันหลังนะ",,0.ยังไม่ได้ติดต่อ,,
178,53957,คลินิกเวชกรรมนายแพทย์สถาปัตย์,สุโขทัย,จตุพร ผาสุจิต,-,-,,,,-,,,,ติดต่อใหม่,53957,ติดต่อใหม่,ติดต่อใหม่,19/2/2026,"หมอแจ้งว่าติดคนไข้อยู่ครับ 16.53 น.
30/1/2026 ไม่รับสาย
18/02/26 ไม่รับสาย
19/02/26 คุณหมอแจ้งว่ายอตนนี้ติดงานอยู๋ครับ ยังไม่ว่างเลย 17.06 น.",,0.ยังไม่ได้ติดต่อ,,
179,44647,Sw family clinic คลินิกเวชกรรมเอสดับเบิลยูแฟมิลี่,กรุงเทพมหานคร,ปาณิสรา ตรีรัตนธำรง,-,-,,,,2. นำส่ง User ให้ลูกค้าเเล้ว,16/2/2026,16/02/26 ดูในระบบ มีการเเจ้ง User ให้ลูกค้าแล้ว,,สนใจ iService,44647,ไม่สนใจ AI,สนใจ iService,13/1/2026,อธิบายรายละเอียด AI เเล้วทางคลินิกเเจ้งว่า ยังไม่ค่อยสนใจจุดนี้,มี iservice,0.ยังไม่ได้ติดต่อ,,
180,42949,เอฟเอ็มซีคลินิกเวชกรรม,นครราชสีมา,ชลธิชา ช่วยพันธ์,-,-,,,,-,,,,ติดต่อใหม่,42949,ติดต่อใหม่,ติดต่อใหม่,18/2/2026,"คุณหมอแจ้งว่าติดต่อหลัง 5 โมงเย็นหรือหกโมงเย็นได้มั้ยคะ พอดีคนไข้หมอเยอะ
30/1/2026 ไม่รับสาย
18/02/26 ไม่รับสาย",,0.ยังไม่ได้ติดต่อ,,
181,51895,คลินิกเวชกรรมนายแพทย์นิติกร,เชียงใหม่,ชลธิชา ช่วยพันธ์,-,-,,,,-,,,,ไม่สนใจทั้งสองระบบ,51895,ไม่สนใจ AI,ไม่สนใจ iService,20/2/2026,"ไม่รับสาย
30/1/2026 ไม่รับสาย
18/02/26 ไม่รับสาย
19/02/26 โทรไม่ติด
20/02/26 ออกจาสปสช.เเล้ว เลยไม่ได้ใช้ระบบเลย ",,0.ยังไม่ได้ติดต่อ,,
182,54529,อุ่นใจคลินิกเวชกรรม,กรุงเทพมหานคร,ชลธิชา ช่วยพันธ์,-,-,,,,-,,,,ติดต่อใหม่,54529,ติดต่อใหม่,ติดต่อใหม่,30/1/2026,"เจ้าหน้าที่รับสาย แจ้งว่า ตอนนี้ติดรับคนไข้อยู่ครับ 16.45 น.
30/1/2026 เจ้าหน้าที่แจ้งว่าตอนนี้ยังไม่สะดวก",,0.ยังไม่ได้ติดต่อ,,
183,55392,คลินิกเวชกรรม ณัฐณรงค์,พิษณุโลก,จตุพร ผาสุจิต,-,-,,,,-,,,,รอพิจารณา,55392,รอพิจารณา,รอพิจารณา,30/1/2026,"ไม่รับสาย
30/1/2026 ขอดูก่อนมีแพลนที่จะขอลด Package ลงเหลือ 6,990 บาท",,0.ยังไม่ได้ติดต่อ,,
184,53102,คลินิกนายแพทย์นิติชาญ สาขาประทาย,นครราชสีมา,อริสรา ส่วนบุญ,0.ยังไม่มี Provider ID สำหรับคลินิก,แจ้ง BD ส่งเอกสาร Provider ID,13/02/2026,13/02/26 เเจ้ง BD ลูกค้าสนใจ,,2. นำส่ง User ให้ลูกค้าเเล้ว,19/2/2026,13/02/26 แจ้ง BD ลูกค้าสนใจ,,สนใจ AI+iService,53102,สนใจ AI,สนใจ iService,13/2/2026,"เบอร์เดียวกัน
30/1/2026 ไม่รับสาย
13/02/26 เบอร์เดียวกัน สนใจทั้ง 2 ระบบ",มี iservice,0.ยังไม่ได้ติดต่อ,,
185,54944,คลินิกเวชกรรมหมอกษมพล สมุทรสาคร,สมุทรสาคร,จตุพร ผาสุจิต,-,-,,,,-,,,,ไม่สนใจทั้งสองระบบ,54944,ไม่สนใจ AI,ไม่สนใจ iService,30/1/2026,"รอพี่หนึ่งติดต่อ เปลี่ยนประเภทคลินิก
30/1/2026 เนื่องจากกำลังเปลี่ยนผ่านมาใช้เป็นระบบ Telemedicine และยังให้บริการคนไข้ไม่ได้ จึงยังไม่สนใจที่จะใช้งานระบบ",,0.ยังไม่ได้ติดต่อ,,
186,52789,คลินิกนายแพทย์เบญจวุฒิ,อุตรดิตถ์,ชลธิชา ช่วยพันธ์,-,-,,,,-,,,,ไม่สนใจทั้งสองระบบ,52789,ไม่สนใจ AI,ไม่สนใจ iService,19/2/2026,"โทรไม่ติด
30/1/2026 ติดประชุมอยู่
19/02/26 หมอไม่เข้าร่วม สปสช.แล้ว คิดว่าไม่ต่อสัญญาเเล้ว",,0.ยังไม่ได้ติดต่อ,,
187,54862,รัชวิภาคลินิกเวชกรรม,มหาสารคาม,จตุพร ผาสุจิต,-,-,,,,-,,,,ไม่สนใจทั้งสองระบบ,54862,ไม่สนใจ AI,ไม่สนใจ iService,21/1/2026,ไม่สนใจ,,0.ยังไม่ได้ติดต่อ,,
188,52161,คลินิกนายแพทย์นิติชาญ,นครราชสีมา,อริสรา ส่วนบุญ,-,-,,,,-,19/2/2026,19/02/2026 ส่ง User ให้ลูกค้าแล้ว,,รอพิจารณา,52161,รอพิจารณา,รอพิจารณา,13/2/2026,"หมอแจ้งว่าพอดีติดคนไข้อยู่เดี๋ยวติดต่อมาทีหลังเนาะ
30/1/2026 ไม่รับสาย
13/02/26 เบอร์เดียวกัน สนใจทั้ง 2 ระบบ ทดลองใช้ สาขา เดียวก่อน",,0.ยังไม่ได้ติดต่อ,,
189,54278,พราวบิวตี้คลินิก,ปัตตานี,จตุพร ผาสุจิต,-,-,,,,-,,,,รอพิจารณา,54278,รอพิจารณา,รอพิจารณา,21/1/2026,อธิิบาย iservice แล้ว รอพิจารณา,,0.ยังไม่ได้ติดต่อ,,
190,53909,คลินิกเวชกรรมบ้านหมอ,เชียงใหม่,ณิชกุล เจริญสุข,-,-,,,,-,,,,ติดต่อใหม่,53909,ติดต่อใหม่,ติดต่อใหม่,30/1/2026,"เสียงขาดๆหายๆ ได้ยินว่าติด น่าจะติดงานอยู่ เดี่ยวเเจ้งให้อายส่งรายละเอียดให้ทางไลน์
30/1/2026 ติดประชุมอยู่",,0.ยังไม่ได้ติดต่อ,,
191,90140,คลินิกแพทย์กนกรัชต์ - กฤษณะ,ตาก,ธนวัฒน์ เศวตวงศ์,-,-,,,,-,,,,ติดต่อใหม่,90140,ติดต่อใหม่,ติดต่อใหม่,30/1/2026,"หมอแจ้งว่าติดคนไข้
21/1/2026 ให้เจ้าของเคสนำส่งข้อมูลเข้าไปให้อีกที",,0.ยังไม่ได้ติดต่อ,,
